person,person_id
Абдуллін Олександр Рафкатович,1
Аваков Арсен Борисович,2
Агафонова Наталія Володимирівна,4
Алексєєв Ігор Сергійович,18549
Алєксєєв Сергій Олегович,26325
Амельченко Василь Васильович,21421
Андрієвський Дмитро Йосипович,7
Антонищак Андрій Федорович,26315
Арешонков Володимир Юрійович,22417
Ар'єв Володимир Ігорович,9
Артеменко Андрій Вікторович,24620
Артюшенко Ігор Андрійович,22542
Атрошенко Владислав Анатолійович,11
Бабак Альона Валеріївна,25921
Бабенко Валерій Борисович,18472
Бабій Юрій Юрійович,25053
Бакулін Євген Миколайович,23016
Бакуменко Олександр Борисович,26326
Балицький Євген Віталійович,17
Балога Віктор Іванович,19
Балога Іван Іванович,19738
Балога Павло Іванович,18
Бандуров Володимир Володимирович,20
Барвіненко Віталій Дмитрович,21
Барна Олег Степанович,23868
Барна Степан Степанович,26331
Батенко Тарас Іванович,20495
Бахтеєва Тетяна Дмитрівна,22
Безбах Яків Якович,23
Береза Борислав Юхимович,24417
Береза Юрій Миколайович,25028
Березкін Станіслав Семенович,26
Березюк Олег Романович,25941
Бєлькова Ольга Валентинівна,27
Білецький Андрій Євгенійович,24490
Білий Олексій Петрович,29
Біловол Олександр Миколайович,30
Бобов Геннадій Борисович,35
Богомолець Ольга Вадимівна,26302
Богуслаєв Вячеслав Олександрович,37
Бойко Олена Петрівна,18544
Бойко Юрій Анатолійович,1058
Бондар Віктор Васильович,40
Бондар Михайло Леонтійович,23233
Бордюг Інна Леонідівна,24614
Брензович Василь Іванович,19690
Бриченко Ігор Віталійович,49
Бублик Юрій Васильович,50
Бурбак Максим Юрійович,51
Бухарєв Владислав Вікторович,23820
Вадатурський Андрій Олексійович,23335
Валентиров Сергій Васильович,22618
Ванат Петро Михайлович,25036
Васюник Ігор Васильович,60
Величкович Микола Романович,25034
Веселова Наталія Василівна,25922
Висоцький Сергій Віталійович,25035
Вілкул Олександр Юрійович,24862
Вінник Іван Юлійович,21135
Вітко Артем Леонідович,24616
Власенко Сергій Володимирович,18440
Вовк Віктор Іванович,21281
Вознюк Юрій Володимирович,64
Войцеховська Світлана Михайлівна,25037
Войціцька Вікторія Михайлівна,25935
Воропаєв Юрій Миколайович,67
Вощевський Валерій Миколайович,24617
Гаврилюк Михайло Віталійович,22824
Галасюк Віктор Валерійович,24618
Гальченко Андрій Володимирович,22012
Гарбуз Юрій Григорійович,23161
Гвоздьов Михайло Олексійович,26324
Герасимов Артур Володимирович,19537
Геращенко Антон Юрійович,25030
Геращенко Ірина Володимирівна,71
Герега Олександр Володимирович,72
Гєллєр Євгеній Борисович,75
Гіршфельд Анатолій Мусійович,77
Головко Михайло Йосифович,81
Голуб Владислав Володимирович,24213
Голубов Дмитро Іванович,23449
Гончаренко Олексій Олексійович,20598
Гопко Ганна Миколаївна,25914
Горбунов Олександр Володимирович,18540
Горват Роберт Іванович,22474
Гордєєв Андрій Анатолійович,18363
Грановський Олександр Михайлович,26327
Гриневич Лілія Михайлівна,89
Гринів Ігор Олексійович,18445
Гройсман Володимир Борисович,26303
Гудзенко Віталій Іванович,19992
Гузь Ігор Володимирович,19228
Гуляєв Василь Олександрович,23508
Гусак Володимир Георгійович,24868
Давиденко Валерій Миколайович,24349
Данченко Олександр Іванович,25923
Дейдей Євген Сергійович,25032
Демчак Руслан Євгенійович,19183
Денисенко Анатолій Петрович,101
Денисенко Андрій Сергійович,17474
Денисенко Вадим Ігорович,26317
Денісова Людмила Леонтіївна,102
Дерев'янко Юрій Богданович,19879
Деркач Андрій Леонідович,105
Дехтярчук Олександр Володимирович,23730
Джемілєв Мустафа,106
Дзензерський Денис Вікторович,109
Дзюблик Павло Володимирович,22442
Дирів Анатолій Борисович,111
