person,person_id
Діденко Ігор Анатолійович,25931
Дідич Валентин Володимирович,19462
Дмитренко Олег Миколайович,24371
Добкін Дмитро Маркович,113
Добкін Михайло Маркович,24863
Добродомов Дмитро Євгенович,20393
Довбенко Михайло Володимирович,16494
Довгий Олесь Станіславович,21554
Долженков Олександр Валерійович,114
Домбровський Олександр Георгійович,115
Донець Тетяна Анатоліївна,116
Драюк Сергій Євсейович,18546
Дроздик Олександр Валерійович,25052
Дубіль Валерій Олександрович,119
Дубінін Олександр Іванович,21990
Дубневич Богдан Васильович,20431
Дубневич Ярослав Васильович,120
Дунаєв Сергій Володимирович,124
Євлахов Анатолій Сергійович,24335
Євтушок Сергій Миколайович,23759
Єднак Остап Володимирович,25930
Єленський Віктор Євгенович,18464
Ємець Леонід Олександрович,127
Єремеєв Ігор Миронович,128
Єфімов Максим Вікторович,22207
Єфремова Ірина Олексіївна,18502
Жданов Ігор Олександрович,26678
Жеваго Костянтин Валентинович,131
Жолобецький Олександр Олександрович,20569
Журжій Андрій Валерійович,25929
Заболотний Григорій Михайлович,136
Загорій Гліб Володимирович,26323
Заліщук Світлана Петрівна,26306
Заставний Роман Йосипович,18450
Звягільський Юхим Леонідович,140
Зубач Любомир Львович,25947
Зубик Володимир Володимирович,142
Іванчук Андрій Володимирович,145
Івахів Степан Петрович,147
Івченко Вадим Євгенович,26676
Іллєнко Андрій Юрійович,149
Ільюк Артем Олександрович,150
Іонова Марія Миколаївна,151
Іоффе Юлій Якович,152
Іщейкін Костянтин Євгенович,23673
Іщенко Валерій Олександрович,153
Кадикало Микола Олегович,25039
Каплін Сергій Миколайович,162
Кацер-Бучковська Наталія Володимирівна,25042
Кацуба Володимир Михайлович,166
Квіт Сергій Миронович,26305
Кириленко В’ячеслав Анатолійович,18438
Кириленко Іван Григорович,170
Кириченко Олексій Миколайович,18757
Кишкар Павло Миколайович,25920
Ківалов Сергій Васильович,172
Кіраль Сергій Іванович,25945
Кірш Олександр Вікторович,21022
Кісельов Андрій Миколайович,24869
Кіссе Антон Іванович,175
Кіт Андрій Богданович,20536
Климпуш-Цинцадзе Іванна Орестівна,26329
Клімов Леонід Михайлович,177
Клюєв Сергій Петрович,178
Княжицький Микола Леонідович,179
Князевич Руслан Петрович,180
Кобцев Михайло Валентинович,26321
Ковальчук Віталій Анатолійович,182
Кодола Олександр Михайлович,18510
Кожем'якін Андрій Анатолійович,18439
Козак Тарас Романович,20489
Козаченко Леонід Петрович,26316
Козир Борис Юрійович,23307
Колганова Олена Валеріївна,1861
Колєсніков Дмитро Валерійович,24870
Кондратюк Олена Костянтинівна,188
Кононенко Ігор Віталійович,26311
Константіновський Вячеслав Леонідович,24549
Корнацький Аркадій Олексійович,20589
Королевська Наталія Юріївна,1875
Король Віктор Миколайович,26314
Корчик Віталій Андрійович,25046
Корчинська Оксана Анатоліївна,24623
Костенко Павло Петрович,25942
Котвіцький Ігор Олександрович,25038
Кошелєва Альона Володимирівна,24619
Кремінь Тарас Дмитрович,18536
Кривенко Вадим Валерійович,18566
Кривенко Віктор Миколайович,25918
Кривохатько Вадим Вікторович,19818
Кривошея Геннадій Григорович,25048
Кришин Олег Юрійович,22045
Крулько Іван Іванович,1683
Ксенжук Олександр Степанович,1842
Кубів Степан Іванович,198
Кудлаєнко Сергій Володимирович,18456
Кужель Олександра Володимирівна,200
Кузьменко Анатолій Іванович,22989
Кулініч Олег Іванович,203
Куліч Валерій Петрович,24311
Куліченко Іван Іванович,21972
Куніцин Сергій Володимирович,204
Купрієнко Олег Васильович,21410
Купрій Віталій Миколайович,19364
Курило Віталій Семенович,20376
Курячий Максим Павлович,19288
Кутовий Тарас Вікторович,212
Кучер Микола Іванович,19171
Лабазюк Сергій Петрович,214
Лаврик Микола Іванович,23814
Лаврик Олег Васильович,25925
Ланьо Михайло Іванович,217
Лапін Ігор Олександрович,21913
Ларін Сергій Миколайович,24865
Левус Андрій Мар'янович,25031
Левченко Юрій Володимирович,21761
Ледовських Олена Володимирівна,18444
Ленський Олексій Олексійович,18758
Лесюк Ярослав Васильович,26332
Лещенко Сергій Анатолійович,26307
Литвин Володимир Михайлович,222
Лівік Олександр Петрович,18675
Лінько Дмитро Володимирович,20209
Логвинський Георгій Володимирович,25033
Лозовой Андрій Сергійович,18753
Лопушанський Андрій Ярославович,20526
Лубінець Дмитро Валерійович,22370
Лук'янчук Руслан Валерійович,18441
Лунченко Валерій Валерійович,227
Луценко Ігор Вікторович,21763
Луценко Ірина Степанівна,228
Луценко Юрій Віталійович,26301
Льовочкіна Юлія Володимирівна,233
Льовочкін Сергій Володимирович,24867
Люшняк Микола Володимирович,20994
Ляшко Олег Валерійович,232
Макар'ян Давид Борисович,20562
Македон Юрій Миколайович,19159
Мамчур Юлій Валерійович,26304
Маркевич Ярослав Володимирович,25927
Мартиненко Микола Володимирович,239
Мартиняк Сергій Васильович,242
Мартовицький Артур Володимирович,243
Марченко Олександр Олександрович,19934
Масоріна Олена Сергіївна,25040
Матвієнко Анатолій Сергійович,19173
Матвієнков Сергій Анатолійович,246
Матвійчук Едуард Леонідович,23370
Матейченко Костянтин Володимирович,19506
Матіос Марія Василівна,247
Матківський Богдан Миронович,23252
Матузко Олена Олександрівна,26330
Мацола Роман Миколайович,24146
Медуниця Олег Вячеславович,20884
Мельник Сергій Іванович,24108
Мельниченко Володимир Володимирович,253
Мельничук Іван Іванович,19139
Мельничук Сергій Петрович,24613
Мирний Іван Миколайович,256
Мисик Володимир Юрійович,259
Мірошник Андрій Миколайович,25944
Мірошниченко Юрій Романович,263
Мірошніченко Іван Володимирович,25928
Міщенко Сергій Григорович,265
Молоток Ігор Федорович,266
Мороко Юрій Миколайович,18592
Мосійчук Ігор Володимирович,20061
Москаленко Ярослав Миколайович,269
Мураєв Євгеній Володимирович,275
Мусій Олег Степанович,23279
Мушак Олексій Петрович,26328
Найєм Мустафа-Масі,26308
Насалик Ігор Степанович,22657
Насіров Роман Михайлович,26322
Негой Федір Федорович,279
Недава Олег Анатолійович,22288
Немировський Андрій Валентинович,25946
Немиря Григорій Михайлович,280
Нестеренко Вадим Григорович,22097
Нечаєв Олександр Ігоревич,283
Ничипоренко Валентин Миколайович,284
Німченко Василь Іванович,24873
Новак Наталія Василівна,285
Новинський Вадим Владиславович,445
Омельянович Денис Сергійович,289
Онищенко Олександр Романович,290
Онуфрик Богдан Семенович,26313
Опанасенко Олександр Валерійович,25933
Остапчук Віктор Миколайович,293
Острікова Тетяна Георгіївна,25932
Осуховський Олег Іванович,294
Павелко Андрій Васильович,295
Павленко Ростислав Миколайович,296
Павленко Юрій Олексійович,24872
Павлов Костянтин Юрійович,297
Паламарчук Микола Петрович,300
Палатний Артур Леонідович,301
Папієв Михайло Миколайович,24871
Парасюк Володимир Зіновійович,23263
Парубій Андрій Володимирович,305
Пастух Тарас Тимофійович,20959
Пацкан Валерій Васильович,307
Пашинський Сергій Володимирович,308
Петренко Олег Миколайович,24189
Петренко Павло Дмитрович,309
Петьовка Василь Васильович,310
Пинзеник Віктор Михайлович,313
Пинзеник Павло Васильович,18498
Писаренко Валерій Володимирович,314
Підлісецький Лев Теофілович,25939
Побер Ігор Миколайович,317
Подоляк Ірина Ігорівна,23207
Поляков Максим Анатолійович,21342
Помазанов Андрій Віталійович,25047
Пономарьов Олександр Сергійович,323
Поплавський Михайло Михайлович,19980
Попов Ігор Володимирович,24615
Порошенко Олексій Петрович,21822
Пресман Олександр Семенович,326
Присяжнюк Олександр Анатолійович,25041
Продан Оксана Петрівна,329
Пташник Вікторія Юріївна,25936
Рабінович Вадим Зіновійович,24864
Развадовський Віктор Йосипович,333
Ревега Олександр Васильович,19641
Река Андрій Олександрович,20801
Рибак Іван Петрович,21366
Рибалка Сергій Вікторович,24622
Рибчинський Євген Юрійович,24392
Різаненко Павло Олександрович,338
Розенблат Борислав Соломонович,22401
Розенко Павло Валерійович,339
Романова Анна Анатоліївна,25943
Романовський Олександр Володимирович,25050
Романюк Віктор Миколайович,20068
Романюк Роман Сергійович,340
Рудик Сергій Ярославович,21311
Рябчин Олексій Михайлович,26677
Сабашук Петро Павлович,19754
Савченко Надія Вікторівна,26673
Савченко Олексій Юрійович,26319
Савчук Юрій Петрович,344
Сажко Сергій Миколайович,22353
Святаш Дмитро Володимирович,349
Семенуха Роман Сергійович,25940
Семенченко Семен Ігорович,25915
Семерак Остап Михайлович,18451
Сидорович Руслан Михайлович,25934
Сидорчук Вадим Васильович,18468
Силантьєв Денис Олегович,21629
Сироїд Оксана Іванівна,25917
Сисоєнко Ірина Володимирівна,25938
Скорик Микола Леонідович,24866
Скрипник Олексій Олексійович,25916
Скуратовський Сергій Іванович,24621
Соболєв Єгор Вікторович,25926
Соболєв Сергій Владиславович,366
Соловей Юрій Ігорович,18239
Солод Юрій Васильович,22195
Сольвар Руслан Миколайович,368
Соляр Володимир Миронович,25043
Сотник Олена Сергіївна,25924
Сочка Олександр Олександрович,18481
Співаковський Олександр Володимирович,24051
Спориш Іван Дмитрович,19150
Сташук Віталій Филимонович,18509
Стеценко Дмитро Олександрович,25049
Стець Юрій Ярославович,372
Сторожук Дмитро Анатолійович,18525
Сугоняко Олександр Леонідович,20904
Супруненко Олександр Іванович,21605
Суслова Ірина Миколаївна,25919
Сюмар Вікторія Петрівна,25027
Тарасюк Борис Іванович,382
Тарута Сергій Олексійович,22333
Тетерук Андрій Анатолійович,25026
Тимошенко Юлія Володимирівна,26674
Тимошенко Юрій Володимирович,22705
Тимчук Дмитро Борисович,25029
Тіміш Григорій Іванович,21379
Ткачук Геннадій Віталійович,388
Томенко Микола Володимирович,389
Третьяков Олександр Юрійович,21649
Тригубенко Сергій Миколайович,26318
Турчинов Олександр Валентинович,393
Унгурян Павло Якимович,19644
Урбанський Олександр Ігорович,23598
Усов Костянтин Глібович,20635
Фаєрмарк Сергій Олександрович,397
Федорук Микола Трохимович,399
Фельдман Олександр Борисович,402
Філатов Борис Альбертович,21965
Фірсов Єгор Павлович,1886
Фріз Ірина Василівна,26312
Фролов Микола Олександрович,22571
Фурсін Іван Геннадійович,404
Хлань Сергій Володимирович,21154
Хміль Михайло Михайлович,407
Хомутиннік Віталій Юрійович,408
Чекіта Геннадій Леонідович,23406
Чепинога Віталій Михайлович,18234
Червакова Ольга Валеріївна,26320
Черненко Олександр Миколайович,26309
Чижмарь Юрій Васильович,21009
Чорновол Тетяна Миколаївна,20459
Чубаров Рефат Абдурахманович,18484
Чумак Віктор Васильович,420
Шаповалов Юрій Анатолійович,422
Шевченко Олександр Леонідович,1889
Шенцев Дмитро Олексійович,429
Шинькович Андрій Васильович,24140
Шипко Андрій Федорович,430
Шкварилюк Володимир Васильович,431
Шкіря Ігор Миколайович,432
Шкрум Альона Іванівна,26675
Шлемко Дмитро Васильович,433
Шпенов Дмитро Юрійович,434
Шурма Ігор Михайлович,24874
Шуфрич Нестор Іванович,437
Шухевич Юрій-Богдан Романович,17209
Южаніна Ніна Петрівна,26310
Юрик Тарас Зіновійович,18542
Юринець Оксана Василівна,20427
Юрчишин Петро Васильович,19129
Яніцький Василь Петрович,20864
Яриніч Костянтин Володимирович,22942
Ярош Дмитро Анатолійович,22114
Яценко Антон Володимирович,443
Яценюк Арсеній Петрович,444
Березенко Сергій Іванович,34323
Шверк Григорій Аронович,26333
Севрюков Владислав Володимирович,26334
Юзькова Тетяна Леонідівна,24624
Підберезняк Вадим Іванович,20572
Бригинець Олександр Михайлович,48
Білоцерковець Дмитро Олександрович,26336
Мепарішвілі Хвича Нодарович,18512
Єдаков Ярослав Юрійович,25054
Велікін Олег Маркович,26337
Саврасов Максим Віталійович,26338
Карпунцов Валерій Віталійович,163
Білозір Оксана Володимирівна,19666
Констанкевич Ірина Мирославівна,21911
Ричкова Тетяна Борисівна,116665
Шевченко Віктор Леонідович,44149
Шахов Сергій Володимирович,20315
Богдан Руслан Дмитрович,18448
Одарченко Юрій Віталійович,286
Микитась Максим Вікторович,116764
Данілін Владислав Юрійович,27159
Бендюженко Федір Володимирович,25056
Буглак Юрій Олександрович,26339
