19183,Демчак Руслан Євгенійович,Блок Петра Порошенка
101,Денисенко Анатолій Петрович,Не входить до складу жодної фракції
17474,Денисенко Андрій Сергійович,Блок Петра Порошенка
26317,Денисенко Вадим Ігорович,Блок Петра Порошенка
102,Денісова Людмила Леонтіївна,Народний фронт
19879,Дерев’янко Юрій Богданович,Не входить до складу жодної фракції
105,Деркач Андрій Леонідович,"Група ""Воля народу"""
23730,Дехтярчук Олександр Володимирович,Блок Петра Порошенка
106,Джемілєв Мустафа,Блок Петра Порошенка
109,Дзензерський Денис Вікторович,Народний фронт
22442,Дзюблик Павло Володимирович,Народний фронт
111,Дирів Анатолій Борисович,Народний фронт
25931,Діденко Ігор Анатолійович,"Об'єднання ""Самопоміч"""
19462,Дідич Валентин Володимирович,Блок Петра Порошенка
24371,Дмитренко Олег Миколайович,Блок Петра Порошенка
113,Добкін Дмитро Маркович,Опозиційний блок
24863,Добкін Михайло Маркович,Опозиційний блок
20393,Добродомов Дмитро Євгенович,Блок Петра Порошенка
16494,Довбенко Михайло Володимирович,Блок Петра Порошенка
21554,Довгий Олесь Станіславович,Не входить до складу жодної фракції
114,Долженков Олександр Валерійович,Опозиційний блок
115,Домбровський Олександр Георгійович,Блок Петра Порошенка
116,Донець Тетяна Анатоліївна,Народний фронт
18546,Драюк Сергій Євсейович,Народний фронт
25052,Дроздик Олександр Валерійович,Народний фронт
21990,Дубінін Олександр Іванович,Блок Петра Порошенка
20431,Дубневич Богдан Васильович,Блок Петра Порошенка
120,Дубневич Ярослав Васильович,Блок Петра Порошенка
124,Дунаєв Сергій Володимирович,Опозиційний блок
24335,Євлахов Анатолій Сергійович,Блок Петра Порошенка
23759,Євтушок Сергій Миколайович,"ВО ""Батьківщина"""
25930,Єднак Остап Володимирович,"Об'єднання ""Самопоміч"""
18464,Єленський Віктор Євгенович,Народний фронт
127,Ємець Леонід Олександрович,Народний фронт
128,Єремеєв Ігор Миронович,"Група ""Воля народу"""
22207,Єфімов Максим Вікторович,Блок Петра Порошенка
18502,Єфремова Ірина Олексіївна,Народний фронт
26678,Жданов Ігор Олександрович,None
131,Жеваго Костянтин Валентинович,Не входить до складу жодної фракції
20569,Жолобецький Олександр Олександрович,Блок Петра Порошенка
25929,Журжій Андрій Валерійович,"Об'єднання ""Самопоміч"""
136,Заболотний Григорій Михайлович,Блок Петра Порошенка
26323,Загорій Гліб Володимирович,Блок Петра Порошенка
26306,Заліщук Світлана Петрівна,Блок Петра Порошенка
18450,Заставний Роман Йосипович,Народний фронт
140,Звягільський Юхим Леонідович,Опозиційний блок
142,Зубик Володимир Володимирович,"Група ""Економічний розвиток"""
145,Іванчук Андрій Володимирович,Народний фронт
147,Івахів Степан Петрович,"Група ""Воля народу"""
26676,Івченко Вадим Євгенович,"ВО ""Батьківщина"""
149,Іллєнко Андрій Юрійович,Не входить до складу жодної фракції
150,Ільюк Артем Олександрович,"Група ""Економічний розвиток"""
151,Іонова Марія Миколаївна,Блок Петра Порошенка
152,Іоффе Юлій Якович,Опозиційний блок
23673,Іщейкін Костянтин Євгенович,Блок Петра Порошенка
153,Іщенко Валерій Олександрович,Блок Петра Порошенка
25039,Кадикало Микола Олегович,Народний фронт
162,Каплін Сергій Миколайович,Блок Петра Порошенка
25042,Кацер-Бучковська Наталія Володимирівна,Народний фронт
166,Кацуба Володимир Михайлович,"Група ""Воля народу"""
26305,Квіт Сергій Миронович,None
18438,Кириленко В’ячеслав Анатолійович,None
170,Кириленко Іван Григорович,"ВО ""Батьківщина"""
18757,Кириченко Олексій Миколайович,Радикальна партія Ляшка
25920,Кишкар Павло Миколайович,"Об'єднання ""Самопоміч"""
172,Ківалов Сергій Васильович,Не входить до складу жодної фракції
25945,Кіраль Сергій Іванович,"Об'єднання ""Самопоміч"""
21022,Кірш Олександр Вікторович,Народний фронт
24869,Кісельов Андрій Миколайович,Опозиційний блок
175,Кіссе Антон Іванович,"Група ""Економічний розвиток"""
20536,Кіт Андрій Богданович,Блок Петра Порошенка
26329,Климпуш-Цинцадзе Іванна Орестівна,Блок Петра Порошенка
177,Клімов Леонід Михайлович,"Група ""Економічний розвиток"""
178,Клюєв Сергій Петрович,Не входить до складу жодної фракції
179,Княжицький Микола Леонідович,Народний фронт
180,Князевич Руслан Петрович,Блок Петра Порошенка
26321,Кобцев Михайло Валентинович,Блок Петра Порошенка
182,Ковальчук Віталій Анатолійович,Блок Петра Порошенка
18510,Кодола Олександр Михайлович,Народний фронт
18439,Кожем’якін Андрій Анатолійович,"ВО ""Батьківщина"""
20489,Козак Тарас Романович,Опозиційний блок
26316,Козаченко Леонід Петрович,Блок Петра Порошенка
23307,Козир Борис Юрійович,Блок Петра Порошенка
18447,Колганова Олена Валеріївна,Народний фронт
24870,Колєсніков Дмитро Валерійович,Опозиційний блок
188,Кондратюк Олена Костянтинівна,"ВО ""Батьківщина"""
26311,Кононенко Ігор Віталійович,Блок Петра Порошенка
24549,Константіновський Вячеслав Леонідович,Народний фронт
20589,Корнацький Аркадій Олексійович,Блок Петра Порошенка
17018,Королевська Наталія Юріївна,Опозиційний блок
26314,Король Віктор Миколайович,Блок Петра Порошенка
25046,Корчик Віталій Андрійович,Народний фронт
24623,Корчинська Оксана Анатоліївна,Радикальна партія Ляшка
25942,Костенко Павло Петрович,"Об'єднання ""Самопоміч"""
25038,Котвіцький Ігор Олександрович,Народний фронт
24619,Кошелєва Альона Володимирівна,Радикальна партія Ляшка
18536,Кремінь Тарас Дмитрович,Народний фронт
18566,Кривенко Вадим Валерійович,Народний фронт
25918,Кривенко Віктор Миколайович,"Об'єднання ""Самопоміч"""
19818,Кривохатько Вадим Вікторович,Блок Петра Порошенка
25048,Кривошея Геннадій Григорович,Народний фронт
22045,Кришин Олег Юрійович,Народний фронт
