name,faction,start_date,end_date
Абдуллін Олександр Рафкатович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об’єднання ""Батьківщина"", Українська соціал-демократична партія , партія  ""Реформи і Порядок"")",2010-09-21,2010-11-16
Абдуллін Олександр Рафкатович,"Фракція ""Блок Юлії Тимошенко - ""Батьківщина""",2010-11-16,
Азаров Микола Янович,Фракція Партії регіонів у Верховній Раді України,2007-11-23,2010-03-11
Акімова Ірина Михайлівна,Фракція Партії регіонів у Верховній Раді України,2007-11-23,2010-03-12
Александровська Алла Олександрівна,Фракція Комуністичної партії України,2007-11-23,
Алексєєв Ігор Вікторович,Фракція Комуністичної партії України,2007-11-23,
Андрос Сергій Олександрович,Фракція Партії регіонів у Верховній Раді України,2011-02-15,
Ар'єв Володимир Ігорович,"Фракція Блоку ""НАША УКРАЇНА – НАРОДНА САМООБОРОНА"": Народний Союз ""Наша Україна"", Політична партія ""Вперед, Україно!"", Народний Рух України, Українська Народна Партія, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз, Європейська партія України, Громадянська партія ""ПОРА"", Партія захисників Вітчизни",2007-11-23,
Аржевітін Станіслав Михайлович,"Фракція Блоку ""НАША УКРАЇНА – НАРОДНА САМООБОРОНА"": Народний Союз ""Наша Україна"", Політична партія ""Вперед, Україно!"", Народний Рух України, Українська Народна Партія, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз, Європейська партія України, Громадянська партія ""ПОРА"", Партія захисників Вітчизни",2007-11-23,
Аркаллаєв Нуруліслам Гаджиєвич,Фракція Партії регіонів у Верховній Раді України,2007-11-23,
Арутюнов Гарегін Рафаелович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об’єднання ""Батьківщина"", Українська соціал-демократична партія , партія  ""Реформи і Порядок"")",2007-11-23,2010-11-16
Арутюнов Гарегін Рафаелович,"Фракція ""Блок Юлії Тимошенко - ""Батьківщина""",2010-11-16,
Ахметов Рінат Леонідович,Фракція Партії регіонів у Верховній Раді України,2007-11-23,
Бабаєв Олег Мейданович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об’єднання ""Батьківщина"", Українська соціал-демократична партія , партія  ""Реформи і Порядок"")",2007-11-23,2010-11-16
Бабаєв Олег Мейданович,"Фракція ""Блок Юлії Тимошенко - ""Батьківщина""",2010-11-16,2011-02-01
Бабенко Валерій Борисович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об’єднання ""Батьківщина"", Українська соціал-демократична партія , партія  ""Реформи і Порядок"")",2007-11-23,2010-11-16
Бабенко Валерій Борисович,"Фракція ""Блок Юлії Тимошенко - ""Батьківщина""",2010-11-16,
Бабурін Олексій Васильович,Фракція Комуністичної партії України,2007-11-23,
Баграєв Микола Георгійович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об’єднання ""Батьківщина"", Українська соціал-демократична партія , партія  ""Реформи і Порядок"")",2007-11-23,2010-11-16
Баграєв Микола Георгійович,"Фракція ""Блок Юлії Тимошенко - ""Батьківщина""",2010-11-16,2010-12-02
Баграєв Микола Георгійович,Фракція Партії регіонів у Верховній Раді України,2011-03-17,
Баранов Валерій Олексійович,"Фракція ""Блок Литвина"" (Народна Партія, Трудова партія України) у Верховній Раді України",2007-11-23,2010-11-19
Баранов Валерій Олексійович,Фракція Народної Партії у Верховній Раді України,2010-11-19,
Баранов-Мохорт Сергій Миколайович,Фракція Партії регіонів у Верховній Раді України,2011-05-31,
