name,faction,start_date,end_date
Абдуллін Олександр Рафкатович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,
Аваков Арсен Борисович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,2014-03-17
Аверченко Сергій Миколайович,"Фракція Політичної партії ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",2012-12-12,2014-04-01
Агафонова Наталія Володимирівна,"Фракція Політичної партії ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",2012-12-12,
Азаров Микола Янович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2012-12-18
Азаров Олексій Миколайович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Алексєєв Ігор Вікторович,Фракція Комуністичної партії України,2012-12-12,2014-07-24
Андрієвський Дмитро Йосипович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,
Апостол Михайло Володимирович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,
Ар'єв Володимир Ігорович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,
Аркаллаєв Нуруліслам Гаджиєвич,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Атрошенко Владислав Анатолійович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-20
Баграєв Микола Георгійович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-21
Баграєв Микола Георгійович,"Група ""Суверенна європейська Україна""",2014-02-27,
Бадаєв Руслан Геннадійович,"Група ""Суверенна європейська Україна""",2014-02-27,
Байдюк Лариса Макарівна,Фракція Комуністичної партії України,2012-12-12,2014-07-24
Байсаров Леонід Володимирович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Баландін Сергій Вікторович,Фракція Комуністичної партії України,2012-12-12,2014-07-24
Балицький Євген Віталійович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-06-03
Балицький Євген Віталійович,"Група ""За мир та стабільність""",2014-07-02,
Балога Павло Іванович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2013-04-16
Бандуров Володимир Володимирович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-08-12
Барвіненко Віталій Дмитрович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-22
Барвіненко Віталій Дмитрович,"Група ""Економічний розвиток""",2014-02-24,
Бахтеєва Тетяна Дмитрівна,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Безбах Яків Якович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Бенюк Богдан Михайлович,"Фракція Всеукраїнське об'єднання ""Свобода""",2012-12-12,
Бережна Ірина Григоріївна,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Березкін Станіслав Семенович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-21
Березкін Станіслав Семенович,"Група ""Економічний розвиток""",2014-02-24,
Бєлькова Ольга Валентинівна,"Фракція Політичної партії ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",2012-12-12,
Бідьовка Володимир Анатолійович,Фракція Комуністичної партії України,2012-12-12,2014-07-24
Білий Олексій Петрович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Біловол Олександр Миколайович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-22
Біловол Олександр Миколайович,"Група ""Економічний розвиток""",2014-02-27,
Блавацький Михайло Васильович,"Фракція Всеукраїнське об'єднання ""Свобода""",2012-12-12,
Благодир Юрій Анатолійович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2013-01-10,2014-02-20
Благодир Юрій Анатолійович,"Група ""Суверенна європейська Україна""",2014-02-27,
Близнюк Анатолій Михайлович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Бобков Олександр Михайлович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-06-03
Бобков Олександр Михайлович,"Група ""За мир та стабільність""",2014-07-02,
Бобов Геннадій Борисович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-20
Бобов Геннадій Борисович,"Група ""Економічний розвиток""",2014-02-24,
Богдан Руслан Дмитрович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2014-06-19,
Богословська Інна Германівна,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2013-12-03
Богуслаєв Вячеслав Олександрович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Бойко Володимир Богданович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,
Бойко Володимир Семенович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
Бондар Віктор Васильович,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,2014-02-20
Бондар Віктор Васильович,"Група ""Суверенна європейська Україна""",2014-02-27,
Бондаренко Володимир Дмитрович,"Фракція Всеукраїнського об'єднання ""Батьківщина""",2012-12-12,2014-05-13
Бондаренко Олена Анатоліївна,Фракція ПАРТІЇ РЕГІОНІВ у Верховній Раді України сьомого скликання,2012-12-12,
