name,faction,start_date,end_date
Абдуллін Олександр Рафкатович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Азаров Микола Янович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,2006-09-12
Александровська Алла Олександрівна,Фракція Комуністичної партії України,2006-05-25,
Алексєєв Ігор Вікторович,Фракція Комуністичної партії України,2006-05-25,
Андрос Сергій Олександрович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Антемюк Анатолій Дмитрович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Антипенко Ірина Вікторівна,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Антіпов Олег Миколайович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Аржевітін Станіслав Михайлович,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Аркаллаєв Нуруліслам Гаджиєвич,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Артеменко Юрій Анатолійович,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Ахметов Рінат Леонідович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Бабурін Олексій Васильович,Фракція Комуністичної партії України,2006-05-25,
Баграєв Микола Георгійович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Баранівський Олександр Петрович,Фракція Соціалістичної партії України,2006-05-25,
Бахтеєва Тетяна Дмитрівна,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Бевзенко Валерій Федорович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Безсмертний Роман Петрович,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Берташ Василь Михайлович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
