name,faction,start_date,end_date
Беспалий Борис Якович,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Бичков Сергій Анатолійович,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-09-14,
Біба Василь Тимофійович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Білий Олексій Петрович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Білозір Оксана Володимирівна,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Білорус Олег Григорович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Бірюк Лев Васильович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Богатирьова Раїса Василівна,Фракція Партії регіонів у Верховній Раді України,2006-05-25,2006-06-05
Богатирьова Раїса Василівна,Фракція Партії регіонів у Верховній Раді України,2006-09-05,
Богачук Василь Степанович,Фракція Соціалістичної партії України,2006-09-14,
Богашева Наталія Владиславівна,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Богуслаєв Вячеслав Олександрович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Боднар Ольга Борисівна,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Бойко Володимир Семенович,Фракція Соціалістичної партії України,2006-05-25,
Бокий Іван Сидорович,Фракція Соціалістичної партії України,2006-05-25,
Болдирєв Юрій Олександрович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Бондар Володимир Олексійович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Бондар Олександр Миколайович,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Бондаренко Віктор Вікторович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Бондаренко Олена Анатоліївна,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Бондаренко Олена Федорівна,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Бондарчук Іван Миколайович,Фракція Соціалістичної партії України,2006-05-25,
Бондик Валерій Анатолійович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Борзих Олександр Іванович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,2006-09-21
Борисов Валерій Дмитрович,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Борт Віталій Петрович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Борщевський Віктор Валентинович,Фракція Комуністичної партії України,2006-05-25,
Бронніков Володимир Костянтинович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Бугаєць Анатолій Олександрович,Фракція Соціалістичної партії України,2006-05-25,
Буджерак Олександр Олександрович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Бульба Степан Степанович,Фракція Соціалістичної партії України,2006-05-25,
Бурлаков Павло Миколайович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Буряк Олександр Васильович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Буряк Сергій Васильович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Васадзе Таріел Шакрович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Васильєв Олександр Андрійович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Веревський Андрій Михайлович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Вернидубов Іван Васильович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Вершиніна Інга Станіславівна,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Вечерко Володимир Миколайович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Видрін Дмитро Гнатович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Вілкул Олександр Юрійович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Вінський Йосип Вікентійович,Фракція Соціалістичної партії України,2006-05-25,2006-10-06
Вітенко Олена Андріївна,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Волга Василь Олександрович,Фракція Соціалістичної партії України,2006-05-25,
Волинець Михайло Якович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Волков Олександр Анатолійович,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Воропаєв Юрій Миколайович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Воротнюк Ігор Борисович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
В'язівський Володимир Михайлович,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Галуненко Олександр Васильович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Гармаш Галина Федорівна,Фракція Соціалістичної партії України,2006-05-25,2006-11-17
Гасюк Петро Петрович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Герасимов Іван Олександрович,Фракція Комуністичної партії України,2006-05-25,
Герасим'юк Ольга Володимирівна,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Герман Ганна Миколаївна,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Гєллєр Євгеній Борисович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Гірник Євген Олексійович,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Гладій Михайло Васильович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Глусь Степан Карлович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Гнатенко Лев Миколайович,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Гнаткевич Юрій Васильович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-10-17,
Головатий Сергій Петрович,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Голуб Олександр Володимирович,Фракція Комуністичної партії України,2006-05-25,
Гончаров Михайло Олександрович,Фракція Соціалістичної партії України,2006-05-25,
Горбаль Василь Михайлович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Горбатюк Анатолій Олексійович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Горошкевич Олександр Сергійович,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Грач Леонід Іванович,Фракція Комуністичної партії України,2006-05-25,
Григорович Лілія Степанівна,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Грицак Василь Миколайович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Губський Богдан Володимирович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Гуменюк Ігор Миколайович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Гуменюк Олег Іванович,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Гуреєв Василь Миколайович,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Гусаров Сергій Миколайович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Давимука Степан Антонович,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Данілін Микола Олексійович,Фракція Соціалістичної партії України,2006-05-25,
Данілов Олексій Мячеславович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Дарда Олександр Панасович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Дейч Борис Давидович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Демидко Володимир Миколайович,Фракція Партії регіонів у Верховній Раді України,2006-09-14,
Демчишен Василь Васильович,Фракція Партії регіонів у Верховній Раді України,2006-09-14,
Демянко Микола Іванович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Денісова Людмила Леонтіївна,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Деревляний Василь Тимофійович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Деркач Андрій Леонідович,Фракція Соціалістичної партії України,2006-05-25,2006-11-02
Джарти Василь Георгійович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,2006-09-12
Джемілєв Мустафа,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Джига Микола Васильович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Довгий Станіслав Олексійович,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Довгий Тарас Олексійович,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Дончак Володимир Андрійович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Євтухов Василь Іванович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Єгоренко Тамара Василівна,Фракція Партії регіонів у Верховній Раді України,2006-10-18,
Єдін Олександр Йосипович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Єресько Ігор Геннадійович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Єфремов Олександр Сергійович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Єхануров Юрій Іванович,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Жванія Давид Важаєвич,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Жебрівський Павло Іванович,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Жеваго Костянтин Валентинович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Жиденко Ігор Григорович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Журавко Олексій Валерійович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Забарський Владислав Валерійович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Забзалюк Роман Омелянович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Заблоцький Віталій Петрович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Заклунна-Мироненко Валерія Гавриїлівна,Фракція Комуністичної партії України,2006-05-25,
Замковенко Микола Іванович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Заплатинський Володимир Михайлович,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Засуха Тетяна Володимирівна,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Зац Олександр Вікторович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Зварич Ігор Теодорович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Зварич Роман Михайлович,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,2006-09-14
Звягільський Юхим Леонідович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Зейналов Едуард Джангірович,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Зімін Євген Ігорович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Злочевський Микола Владиславович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Зозуля Руслан Петрович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Зубанов Володимир Олександрович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Зубець Михайло Васильович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,2006-09-21
Зубик Володимир Володимирович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,2006-09-21
Зубко Юрій Григорович,Фракція Соціалістичної партії України,2006-09-14,
Зубов Валентин Сергійович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Іванов Володимир Михайлович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Івченко Олексій Григорович,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Ілляшов Григорій Олексійович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Ісаєв Леонід Олексійович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Калашніков Олег Іванович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Калетнік Григорій Миколайович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Кальніченко Ігор Вікторович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Кальцев Сергій Федорович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Кальченко Валерій Михайлович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Калюжний Віталій Анатолійович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Камчатний Валерій Григорович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Каракай Юрій Васильович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Карпачова Ніна Іванівна,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Карпук Володимир Георгійович,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Катеринчук Микола Дмитрович,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Келестин Валерій Васильович,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Кеменяш Олександр Михайлович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Кендзьор Ярослав Михайлович,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Кий Сергій Вікторович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Кириленко В'ячеслав Анатолійович,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Кириленко Іван Григорович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Кирильчук Євген Іванович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Кириченко Людмила Федорівна,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Кисельов Василь Олексійович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Ківалов Сергій Васильович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Кілінкаров Спірідон Павлович,Фракція Комуністичної партії України,2006-05-25,
Кінах Анатолій Кирилович,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Климець Павло Анатолійович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Клімов Леонід Михайлович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Клюєв Андрій Петрович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,2006-09-12
Клюєв Сергій Петрович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Ключковський Юрій Богданович,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Князевич Руслан Петрович,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Ковалевська Юлія Сергіївна,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Коваль Вячеслав Станіславович,"Фракція Блоку ""НАША УКРАЇНА"": політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз у Верховній Раді України",2006-05-25,
Ковальова Юлія Вікторівна,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
Ковзель Микола Олегович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Ковтуненко Олександр Володимирович,"Фракція ""Блок Юлії Тимошенко"" (політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія)",2006-05-25,
Кожара Леонід Олександрович,Фракція Партії регіонів у Верховній Раді України,2006-05-25,
